,Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,matchday
0,2792,P,Musso,6,0,0,0,0,0,0,1,0,0,1
1,695,D,Toloi,7,1,0,0,0,0,0,0,0,0,1
2,787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0,1
3,2130,D,Hateboer,6,0,0,0,0,0,0,1,0,0,1
4,4432,D,Okoli,5.5,0,0,0,0,0,0,1,0,0,1
5,4433,D,Zortea,6,0,0,0,0,0,0,1,0,0,1
6,5375,D,Maehle,6,0,0,0,0,0,0,0,0,0,1
7,5526,D,Scalvini,6.5,0,0,0,0,0,0,0,0,0,1
8,22,C,De Roon,6,0,0,0,0,0,0,1,0,0,1
9,2077,C,Pasalic,6.5,0,0,0,0,0,0,1,0,1,1
10,4427,C,Malinovskyi,6.5,0,0,0,0,0,0,0,0,1,1
11,5685,C,Koopmeiners,6.5,0,0,0,0,0,0,0,0,0,1
12,507,A,Muriel,5.5,0,0,0,0,0,0,0,0,0,1
13,608,A,Zapata D.,7,0,0,0,0,0,0,0,0,0,1
14,4730,A,Lookman,7,1,0,0,0,0,0,0,0,0,1
15,133,P,Skorupski,6.5,0,2,0,0,0,0,0,0,0,1
16,272,D,Medel,6,0,0,0,0,0,0,0,0,0,1
17,487,D,De Silvestri,5,0,0,0,0,0,1,0,0,0,1
18,2192,D,Bonifazi,5.5,0,0,0,0,0,0,0,0,0,1
19,2653,D,Lykogiannis,6,0,0,0,0,0,0,0,0,0,1
20,4891,D,Soumaoro,4.5,0,0,0,0,0,0,0,1,0,1
21,5520,D,Cambiaso,5.5,0,0,0,0,0,0,1,0,0,1
22,5793,D,Kasius,6,0,0,0,0,0,0,0,0,0,1
23,2625,C,Soriano,6,0,0,0,0,0,0,0,0,0,1
24,4393,C,Schouten,6,0,0,0,0,0,0,0,0,0,1
25,4869,C,Dominguez,5.5,0,0,0,0,0,0,0,0,0,1
26,5784,C,Aebischer,6,0,0,0,0,0,0,1,0,0,1
27,537,A,Sansone,6,0,0,0,0,0,0,1,0,0,1
28,2719,A,Barrow,6,0,0,0,0,0,0,0,0,0,1
29,4268,A,Arnautovic,6.5,0,0,0,0,1,0,1,0,0,1
30,1843,P,Radu I.,5,0,3,0,0,0,0,0,0,0,1
31,244,D,Ghiglione,6.5,0,0,0,0,0,0,1,0,1,1
32,612,D,Bianchetti,5.5,1,0,0,0,0,0,0,0,0,1
33,640,D,Chiriches,5,0,0,0,0,0,0,1,0,0,1
34,2847,D,Sernicola,5.5,0,0,0,0,0,0,0,0,0,1
35,5514,D,Vasquez,5.5,0,0,0,0,0,0,0,0,0,1
36,5891,D,Quagliata,6.5,0,0,0,0,0,0,0,0,0,1
